fecha,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_hours,et0_fao_evapotranspiration,shortwave_radiation_sum,wind_speed_10m_max,ciudad,provincia,region,elevacion_m
1995-01-01,12.1,14.3,10.6,12.7,22.0,2.22,13.39,8.1,Quito,Pichincha,Sierra,2903.0
1995-01-02,12.1,15.9,9.4,6.7,13.0,2.82,16.76,8.4,Quito,Pichincha,Sierra,2903.0
1995-01-03,11.8,14.7,10.0,12.1,24.0,2.17,12.82,8.4,Quito,Pichincha,Sierra,2903.0
1995-01-04,11.3,15.4,8.6,3.2,12.0,3.09,19.09,9.2,Quito,Pichincha,Sierra,2903.0
1995-01-05,10.8,14.0,7.9,11.3,13.0,2.06,12.46,8.5,Quito,Pichincha,Sierra,2903.0
1995-01-06,11.3,14.8,9.1,9.3,13.0,2.84,18.1,9.8,Quito,Pichincha,Sierra,2903.0
1995-01-07,10.8,15.4,6.7,5.7,11.0,3.45,21.08,9.0,Quito,Pichincha,Sierra,2903.0
1995-01-08,11.0,15.0,8.3,12.4,19.0,2.42,15.28,8.6,Quito,Pichincha,Sierra,2903.0
1995-01-09,10.6,14.3,6.7,4.5,9.0,3.02,19.59,9.4,Quito,Pichincha,Sierra,2903.0
1995-01-10,10.3,14.0,6.8,4.0,6.0,2.89,18.59,9.6,Quito,Pichincha,Sierra,2903.0
1995-01-11,10.8,15.4,7.0,0.7,4.0,3.48,22.04,10.6,Quito,Pichincha,Sierra,2903.0
1995-01-12,10.8,14.9,6.2,1.1,8.0,3.35,21.46,10.6,Quito,Pichincha,Sierra,2903.0
1995-01-13,11.2,14.2,9.6,3.8,13.0,2.23,13.81,9.2,Quito,Pichincha,Sierra,2903.0
1995-01-14,11.8,16.2,7.5,2.3,10.0,3.5,20.58,8.4,Quito,Pichincha,Sierra,2903.0
1995-01-15,12.2,16.2,10.0,2.3,9.0,3.26,19.2,9.1,Quito,Pichincha,Sierra,2903.0
1995-01-16,11.7,15.7,8.8,7.8,7.0,3.04,18.06,7.4,Quito,Pichincha,Sierra,2903.0
1995-01-17,12.3,16.7,9.7,1.6,5.0,2.87,15.73,5.8,Quito,Pichincha,Sierra,2903.0
1995-01-18,12.0,16.2,8.8,1.9,7.0,2.97,16.7,7.9,Quito,Pichincha,Sierra,2903.0
1995-01-19,11.8,16.1,8.4,3.8,6.0,3.24,18.82,7.6,Quito,Pichincha,Sierra,2903.0
1995-01-20,12.1,16.9,9.4,4.3,9.0,3.21,18.07,6.8,Quito,Pichincha,Sierra,2903.0
1995-01-21,12.0,16.5,7.9,2.9,9.0,3.19,17.83,8.5,Quito,Pichincha,Sierra,2903.0
1995-01-22,12.0,16.5,8.9,2.5,6.0,2.8,15.4,7.6,Quito,Pichincha,Sierra,2903.0
1995-01-23,12.0,16.6,8.8,2.4,9.0,3.46,19.55,8.1,Quito,Pichincha,Sierra,2903.0
1995-01-24,12.1,15.8,10.1,2.8,7.0,2.68,14.85,6.1,Quito,Pichincha,Sierra,2903.0
1995-01-25,12.2,17.1,8.7,2.1,7.0,3.01,16.86,7.4,Quito,Pichincha,Sierra,2903.0
